company_id,location,name
757,None,Vlambeer
758,None,WeirdBeard
759,None,vikingfabian.com
760,None,Xaviant
761,None,Xaviant Games
762,None,Creative Assembly
763,None,Landon Podbielski
764,None,Adult Swim Games
765,None,Number None
766,None,SouthPAW Games
767,None,NEOWIZ
768,None,Ion Storm
769,None,Feral interactive (Linux)
770,None,NEXT Studios
771,None,bilibili
772,None,GRASSHOPPER MANUFACTURE INC.
773,None,SUPERTRICK GAMES
774,None,GungHo Online Entertainment America
775,None,Owlcat Games
776,None,META Publishing
777,None,NetEase Games
778,None,Ben Otter
779,None,Otter-Co
780,None,EA Canada
781,None,Wangyuan Shengtang Entertainment Technology CO.
782,None,上海烛龙信息科技有限公司
783,None,Asobo Studio
784,None,SteelRaven7
785,None,Lion Games Co.
786,None,Massive Monster
787,None,Thomas JC Ironmonger
788,None,Ironmonger Games
789,None,"Arsi ""Hakita"" Patala"
790,None,FYQD-Studio
791,None,PLAYISM
792,None,Jagex Ltd
793,None,墨鱼玩游戏
794,None,Divine Games
795,None,Kongregate
796,None,Periscope Games
797,None,VOID Interactive
798,None,KOJIMA PRODUCTIONS
799,None,Nolla Games
800,None,HL-Galgame
801,None,SakuraGame
802,None,Black Matter Pty Ltd
803,None,CarX Technologies
804,None,Zachtronics
805,None,ZA/UM
806,None,Joey Drew Studios
807,None,NEOWIZ BLESS STUDIO
808,None,Nomad Assembly
809,None,People Can Fly
810,None,Pixonic
811,None,The Farm 51
812,None,Wishlist Games
813,None,The 4 Winds Entertainment
814,None,peropero
815,None,hasuhasu
816,None,Other Ocean Interactive
817,None,Other Ocean Group
818,None,Codename Entertainment Inc.
819,None,Tuxedo Labs
820,None,Bandai Namco Studios
821,None,Leppsoft
822,None,EXOR Studios
823,None,Surefire.Games
824,None,WarpFrog
825,None,Claudiu Kiss
826,None,The Irregular Corporation
827,None,Kabam Games
828,None,Guerrilla
829,None,Radical Entertainment
830,None,Nanjing AQUATRAX
831,None,Indefatigable
832,None,LiLith
833,None,Infini-Brain inc.
834,None,Nomada Studio
835,None,Gameloft
836,None,ATLUS
837,None,Bethesda Game Studios®
838,None,Veewo Games
839,None,Yooreka Studio (China)
840,None,Soleil Ltd.
841,None,FRVR
842,None,Bend Studio
843,None,Cylinder Studios
844,None,Proletariat
845,None,Devil's Details
846,None,Pocketwatch Games
847,None,Norsfell
848,None,Bishop Armstrong
849,None,FakeFish
850,None,Undertow Games
851,None,7th Beat Games
852,None,indienova
853,None,Quantic Dream
854,None,Shiver
855,None,Systemic Reaction™
856,None,HFM Games
857,None,Łukasz Jakowski
858,None,Łukasz Jakowski Games
859,None,BadMudStudio
860,None,Stress Level Zero
861,None,Boss Key Productions
862,None,Noble Muffins
863,None,Console Labs S.A.
864,None,Lazy Bear Games
865,None,de Fault
866,None,Chard
867,None,Far Few Giants
868,None,Dio Alias Games
869,None,Four Quarters
870,None,Creepy Jar
871,None,Red Dot Games
872,None,World's Edge
873,None,Numantian Games
874,None,Lemon Sky Studios
875,None,Miniwan Technology Co.
876,None,Limited
877,None,Blind Squirrel Games
878,None,Digixart
879,None,Skullcap Studios
880,None,Unreal Software
881,None,Digital Sun
882,None,Velan Studios
883,None,TT Games
884,None,Strategy Labs
885,None,CreativeForge Games
886,None,800 North and Digital Ranch
887,None,Purple Lamp
888,None,Dylan Fitterer
889,None,Pathea Games
890,None,One More Level
891,None,3D Realms
892,None,Slipgate Ironworks™
893,None,All in! Games
894,None,Six Foot
895,None,Grey Box
896,None,Brian Lancaster
897,None,Laughing Coyote Software
898,None,Grapeshot Games
899,None,Paul Fisch
900,None,Fish Factory Games
901,None,BANDAI NAMCO Studio Inc.
902,None,Brave At Night
903,None,No More Robots
904,None,Subworld
905,None,Mint Age Studios
906,None,Tomorrow Corporation
907,None,TT Games Ltd
908,None,Absolut Soft LLC
909,None,Slashware Interactive
910,None,NewProjekt
911,None,Neosonyx Co.
912,None,KING Art
913,None,Weappy Studio
914,None,Marxnet
915,None,Redaster Studio
916,None,BANDAI NAMCO Entertainment Inc.
917,None,Brightrock Games
918,None,Olli Harjola
919,None,Otto Hantula
920,None,Tom Jubert
921,None,Carlo Castellano
922,None,Facepalm Games
923,None,Anima Locus
924,None,4 I Lab
925,None,Gravity
926,None,Gravity Interactive
927,None,Cyanide Studios
928,None,Little Green Men Games
929,None,Palm Pioneer
930,None,Thermite Games
931,None,Playtonic Games
932,None,Shokunin
933,None,Thomas M. Visser
934,None,Vincent Thiele
935,None,Self Published
936,None,IO Interactive
937,None,Coldwood Interactive
938,None,KingsIsle Entertainment
939,None,Tlön Studios
940,None,Ilex Games
941,None,Gamestorming
942,None,Reiza Studios
943,None,OVRAS Team
944,None,Artefacts Studio
945,None,Microids
946,None,Killmonday Games AB
947,None,Bare Mettle Entertainment
948,None,@unepic_fran
949,None,MercurySteam
950,None,Climax Studios
951,None,Alter Games
952,None,Gamious
953,None,Test3 Projects
954,None,Broken Circle Studios
955,None,D3 Go!
956,None,Code Headquarters LLC
957,None,Maschinen-Mensch
958,None,MOTIVE
959,None,Overhype Studios
960,None,Charlie Oscar Lima Tango Interactive Entertainmen
961,None,The Merchant Guild of Rund (Limited)
962,None,SNK CORPORATION
963,None,AGC
964,None,DragonSnow
965,None,Fullbright
966,None,Wolfire Games
967,None,Robot Gentleman
968,None,moi rai games
969,None,Kozhakov
970,None,YGGDRAZIL GROUP PUBLIC CO.
971,None,LTD
972,None,Shift Now
973,None,Double Helix Games
974,None,Supra Games
975,None,Nine Dots Studio
976,None,Blue Wizard Digital
977,None,4Fishing
978,None,Ultimate Games S.A.
979,None,Pinokl Games
980,None,Kverta
981,None,Zoe Vartanian
982,None,Badru
983,None,Isa Hutchinson
984,None,Michael Bell
985,None,Ice Water Games
986,None,Knuist & Perzik
987,None,SOEDESCO
988,None,Lightspeed Studios™
989,None,NVIDIA
990,None,Abbey Games
991,None,34BigThings srl
992,None,Digital Tribe
993,None,Fenix Fire Entertainment
994,None,Koei Tecmo
995,None,Madruga Works
996,None,Define Human Studios
997,None,PiGravity
998,None,Michael Zahniser
999,None,TOM CREATE
1000,None,株式会社トムクリエイト
1001,None,株式会社バンダイナムコエンターテインメント
1002,None,Godot Engine
1003,None,ShareX Team
1004,None,ROCKFISH Games
1005,None,Abrakam Entertainment SA
1006,None,Thunder Developers
1007,None,Jundroo
1008,None,Steel Wool Studios
1009,None,ScottGames
1010,None,GrizzlyGames
1011,None,Digital Melody
1012,None,Forever Entertainment S. A.
1013,None,Vicarious Visions
1014,None,Iron Galaxy
1015,None,Fishing Cactus
